time,pft,y,x,resp_r,resp_l,fsmc,resp_w,gpp,npp,resp_p,lai,canht,time_value,run_ini,run_end,time_delta,date,year,doy_f,doy,dap_f,dap,das_f,das
1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.2600001,86400.0,2018-09-01 06:00:00,2019-04-30 06:00:00,1 days,2018-09-02 06:00:00,2018,244.25,245,-88.75,-87,1.0,1
1,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.2600001,86400.0,2018-09-01 06:00:00,2019-04-30 06:00:00,1 days,2018-09-02 06:00:00,2018,244.25,245,-88.75,-87,1.0,1
1,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.2600001,86400.0,2018-09-01 06:00:00,2019-04-30 06:00:00,1 days,2018-09-02 06:00:00,2018,244.25,245,-88.75,-87,1.0,1
1,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.2600001,86400.0,2018-09-01 06:00:00,2019-04-30 06:00:00,1 days,2018-09-02 06:00:00,2018,244.25,245,-88.75,-87,1.0,1
1,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.2600001,86400.0,2018-09-01 06:00:00,2019-04-30 06:00:00,1 days,2018-09-02 06:00:00,2018,244.25,245,-88.75,-87,1.0,1
1,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,86400.0,2018-09-01 06:00:00,2019-04-30 06:00:00,1 days,2018-09-02 06:00:00,2018,244.25,245,-88.75,-87,1.0,1
1,7,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,86400.0,2018-09-01 06:00:00,2019-04-30 06:00:00,1 days,2018-09-02 06:00:00,2018,244.25,245,-88.75,-87,1.0,1
1,8,1,1,2.4122644e-12,2.608398e-12,1.0,0.0,0.0,0.0,0.0,0.001,0.001,86400.0,2018-09-01 06:00:00,2019-04-30 06:00:00,1 days,2018-09-02 06:00:00,2018,244.25,245,-88.75,-87,1.0,1
1,9,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,86400.0,2018-09-01 06:00:00,2019-04-30 06:00:00,1 days,2018-09-02 06:00:00,2018,244.25,245,-88.75,-87,1.0,1
2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.2600001,172800.0,2018-09-01 06:00:00,2019-04-30 06:00:00,2 days,2018-09-03 06:00:00,2018,245.25,246,-87.75,-86,2.0,2
2,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.2600001,172800.0,2018-09-01 06:00:00,2019-04-30 06:00:00,2 days,2018-09-03 06:00:00,2018,245.25,246,-87.75,-86,2.0,2
2,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.2600001,172800.0,2018-09-01 06:00:00,2019-04-30 06:00:00,2 days,2018-09-03 06:00:00,2018,245.25,246,-87.75,-86,2.0,2
2,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.2600001,172800.0,2018-09-01 06:00:00,2019-04-30 06:00:00,2 days,2018-09-03 06:00:00,2018,245.25,246,-87.75,-86,2.0,2
2,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.2600001,172800.0,2018-09-01 06:00:00,2019-04-30 06:00:00,2 days,2018-09-03 06:00:00,2018,245.25,246,-87.75,-86,2.0,2
2,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,172800.0,2018-09-01 06:00:00,2019-04-30 06:00:00,2 days,2018-09-03 06:00:00,2018,245.25,246,-87.75,-86,2.0,2
2,7,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,172800.0,2018-09-01 06:00:00,2019-04-30 06:00:00,2 days,2018-09-03 06:00:00,2018,245.25,246,-87.75,-86,2.0,2
2,8,1,1,3.023615e-12,3.2694559e-12,1.0,0.0,0.0,0.0,0.0,0.001,0.001,172800.0,2018-09-01 06:00:00,2019-04-30 06:00:00,2 days,2018-09-03 06:00:00,2018,245.25,246,-87.75,-86,2.0,2
2,9,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,172800.0,2018-09-01 06:00:00,2019-04-30 06:00:00,2 days,2018-09-03 06:00:00,2018,245.25,246,-87.75,-86,2.0,2
3,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.2600001,259200.0,2018-09-01 06:00:00,2019-04-30 06:00:00,3 days,2018-09-04 06:00:00,2018,246.25,247,-86.75,-85,3.0,3
3,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.2600001,259200.0,2018-09-01 06:00:00,2019-04-30 06:00:00,3 days,2018-09-04 06:00:00,2018,246.25,247,-86.75,-85,3.0,3
3,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.2600001,259200.0,2018-09-01 06:00:00,2019-04-30 06:00:00,3 days,2018-09-04 06:00:00,2018,246.25,247,-86.75,-85,3.0,3
3,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.2600001,259200.0,2018-09-01 06:00:00,2019-04-30 06:00:00,3 days,2018-09-04 06:00:00,2018,246.25,247,-86.75,-85,3.0,3
3,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.2600001,259200.0,2018-09-01 06:00:00,2019-04-30 06:00:00,3 days,2018-09-04 06:00:00,2018,246.25,247,-86.75,-85,3.0,3
3,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,259200.0,2018-09-01 06:00:00,2019-04-30 06:00:00,3 days,2018-09-04 06:00:00,2018,246.25,247,-86.75,-85,3.0,3
