time,cpft,y,x,harvest_trigger,harvest_counter,cropyield,cropdvi,time_value,run_ini,run_end,time_delta,date,year,doy_f,doy,dap_f,dap,das_f,das
1,1,1,1,0.0,0.0,0.0,-2.0,2678400.0,2016-03-01 06:00:00,2016-10-30 06:00:00,31 days,2016-04-01 06:00:00,2016,91.25,92,-69.75,-68,31.0,31
1,2,1,1,0.0,0.0,0.0,-2.0,2678400.0,2016-03-01 06:00:00,2016-10-30 06:00:00,31 days,2016-04-01 06:00:00,2016,91.25,92,-69.75,-68,31.0,31
1,3,1,1,0.0,0.0,0.0,-2.0,2678400.0,2016-03-01 06:00:00,2016-10-30 06:00:00,31 days,2016-04-01 06:00:00,2016,91.25,92,-69.75,-68,31.0,31
1,4,1,1,0.0,0.0,0.0,-2.0,2678400.0,2016-03-01 06:00:00,2016-10-30 06:00:00,31 days,2016-04-01 06:00:00,2016,91.25,92,-69.75,-68,31.0,31
2,1,1,1,0.0,0.0,0.0,-2.0,5270400.0,2016-03-01 06:00:00,2016-10-30 06:00:00,61 days,2016-05-01 06:00:00,2016,121.25,122,-39.75,-38,61.0,61
2,2,1,1,0.0,0.0,0.0,-2.0,5270400.0,2016-03-01 06:00:00,2016-10-30 06:00:00,61 days,2016-05-01 06:00:00,2016,121.25,122,-39.75,-38,61.0,61
2,3,1,1,0.0,0.0,0.0,0.12500228,5270400.0,2016-03-01 06:00:00,2016-10-30 06:00:00,61 days,2016-05-01 06:00:00,2016,121.25,122,-39.75,-38,61.0,61
2,4,1,1,0.0,0.0,0.0,-2.0,5270400.0,2016-03-01 06:00:00,2016-10-30 06:00:00,61 days,2016-05-01 06:00:00,2016,121.25,122,-39.75,-38,61.0,61
3,1,1,1,0.0,0.0,0.0,-2.0,7948800.0,2016-03-01 06:00:00,2016-10-30 06:00:00,92 days,2016-06-01 06:00:00,2016,152.25,153,-8.75,-7,92.0,92
3,2,1,1,0.0,0.0,0.0,-2.0,7948800.0,2016-03-01 06:00:00,2016-10-30 06:00:00,92 days,2016-06-01 06:00:00,2016,152.25,153,-8.75,-7,92.0,92
3,3,1,1,0.0,0.0,0.0,0.46584865,7948800.0,2016-03-01 06:00:00,2016-10-30 06:00:00,92 days,2016-06-01 06:00:00,2016,152.25,153,-8.75,-7,92.0,92
3,4,1,1,0.0,0.0,0.0,-2.0,7948800.0,2016-03-01 06:00:00,2016-10-30 06:00:00,92 days,2016-06-01 06:00:00,2016,152.25,153,-8.75,-7,92.0,92
4,1,1,1,0.0,0.0,0.0,-2.0,10627200.0,2016-03-01 06:00:00,2016-10-30 06:00:00,123 days,2016-07-02 06:00:00,2016,183.25,184,22.25,23,123.0,123
4,2,1,1,0.0,0.0,0.0,-2.0,10627200.0,2016-03-01 06:00:00,2016-10-30 06:00:00,123 days,2016-07-02 06:00:00,2016,183.25,184,22.25,23,123.0,123
4,3,1,1,0.0,0.0,0.0,0.8331125,10627200.0,2016-03-01 06:00:00,2016-10-30 06:00:00,123 days,2016-07-02 06:00:00,2016,183.25,184,22.25,23,123.0,123
4,4,1,1,0.0,0.0,0.0,-2.0,10627200.0,2016-03-01 06:00:00,2016-10-30 06:00:00,123 days,2016-07-02 06:00:00,2016,183.25,184,22.25,23,123.0,123
5,1,1,1,0.0,0.0,0.0,-2.0,13219200.0,2016-03-01 06:00:00,2016-10-30 06:00:00,153 days,2016-08-01 06:00:00,2016,213.25,214,52.25,53,153.0,153
5,2,1,1,0.0,0.0,0.0,-2.0,13219200.0,2016-03-01 06:00:00,2016-10-30 06:00:00,153 days,2016-08-01 06:00:00,2016,213.25,214,52.25,53,153.0,153
5,3,1,1,0.0,0.0,0.0,1.1900631,13219200.0,2016-03-01 06:00:00,2016-10-30 06:00:00,153 days,2016-08-01 06:00:00,2016,213.25,214,52.25,53,153.0,153
5,4,1,1,0.0,0.0,0.0,-2.0,13219200.0,2016-03-01 06:00:00,2016-10-30 06:00:00,153 days,2016-08-01 06:00:00,2016,213.25,214,52.25,53,153.0,153
