run_id,obs_value,variable,obs_type,units_x,date_obs,year,doy,dae,sub_plot,valid,class,subclass,data_type,description,label_var,units_y,vector,sim_code,unit_fac,SAMUCA_sim_code,DSSAT_sim_code,dap,das,date_sim,sim_value,sim_units
MZ0003,5.544692307999999,grain_dw,avg,ton_ha,10/19/2016,2016,293,118,,1,plan,biomass,real,Grain Dry Weight,Grain Dry Mass,ton/ha,F,cropharvc,10.0,,GWAD,165,232,2016-10-19 06:00:00,0.0,ton/ha
MZ0003,0.018652525,lai,avg,m2/m2,05/23/2016,2016,144,16,1.0,1,plan,morphology,real,Leaf Area Index,LAI,m2/m2,F,croplai,1.0,,,16,83,2016-05-23 06:00:00,0.030292219,m2/m2
MZ0003,0.016620202,lai,avg,m2/m2,05/23/2016,2016,144,16,2.0,1,plan,morphology,real,Leaf Area Index,LAI,m2/m2,F,croplai,1.0,,,16,83,2016-05-23 06:00:00,0.030292219,m2/m2
MZ0003,0.018616162,lai,avg,m2/m2,05/23/2016,2016,144,16,3.0,1,plan,morphology,real,Leaf Area Index,LAI,m2/m2,F,croplai,1.0,,,16,83,2016-05-23 06:00:00,0.030292219,m2/m2
MZ0003,0.017689899,lai,avg,m2/m2,05/23/2016,2016,144,16,4.0,1,plan,morphology,real,Leaf Area Index,LAI,m2/m2,F,croplai,1.0,,,16,83,2016-05-23 06:00:00,0.030292219,m2/m2
MZ0003,0.050980807999999996,lai,avg,m2/m2,05/31/2016,2016,152,24,1.0,1,plan,morphology,real,Leaf Area Index,LAI,m2/m2,F,croplai,1.0,,,24,91,2016-05-31 06:00:00,0.06643141,m2/m2
MZ0003,0.03549798,lai,avg,m2/m2,05/31/2016,2016,152,24,2.0,1,plan,morphology,real,Leaf Area Index,LAI,m2/m2,F,croplai,1.0,,,24,91,2016-05-31 06:00:00,0.06643141,m2/m2
MZ0003,0.042158586,lai,avg,m2/m2,05/31/2016,2016,152,24,3.0,1,plan,morphology,real,Leaf Area Index,LAI,m2/m2,F,croplai,1.0,,,24,91,2016-05-31 06:00:00,0.06643141,m2/m2
MZ0003,0.039131313,lai,avg,m2/m2,05/31/2016,2016,152,24,4.0,1,plan,morphology,real,Leaf Area Index,LAI,m2/m2,F,croplai,1.0,,,24,91,2016-05-31 06:00:00,0.06643141,m2/m2
MZ0003,0.082737374,lai,avg,m2/m2,06/06/2016,2016,158,30,1.0,1,plan,morphology,real,Leaf Area Index,LAI,m2/m2,F,croplai,1.0,,,30,97,2016-06-06 06:00:00,0.09616231,m2/m2
MZ0003,0.064939394,lai,avg,m2/m2,06/06/2016,2016,158,30,2.0,1,plan,morphology,real,Leaf Area Index,LAI,m2/m2,F,croplai,1.0,,,30,97,2016-06-06 06:00:00,0.09616231,m2/m2
MZ0003,0.05011111099999999,lai,avg,m2/m2,06/06/2016,2016,158,30,3.0,1,plan,morphology,real,Leaf Area Index,LAI,m2/m2,F,croplai,1.0,,,30,97,2016-06-06 06:00:00,0.09616231,m2/m2
MZ0003,0.054848485,lai,avg,m2/m2,06/06/2016,2016,158,30,4.0,1,plan,morphology,real,Leaf Area Index,LAI,m2/m2,F,croplai,1.0,,,30,97,2016-06-06 06:00:00,0.09616231,m2/m2
MZ0003,0.180843434,lai,avg,m2/m2,06/21/2016,2016,173,45,1.0,1,plan,morphology,real,Leaf Area Index,LAI,m2/m2,F,croplai,1.0,,,45,112,2016-06-21 06:00:00,0.2897277,m2/m2
MZ0003,0.26639596,lai,avg,m2/m2,06/21/2016,2016,173,45,2.0,1,plan,morphology,real,Leaf Area Index,LAI,m2/m2,F,croplai,1.0,,,45,112,2016-06-21 06:00:00,0.2897277,m2/m2
MZ0003,0.166035354,lai,avg,m2/m2,06/21/2016,2016,173,45,3.0,1,plan,morphology,real,Leaf Area Index,LAI,m2/m2,F,croplai,1.0,,,45,112,2016-06-21 06:00:00,0.2897277,m2/m2
MZ0003,0.109056566,lai,avg,m2/m2,06/21/2016,2016,173,45,4.0,1,plan,morphology,real,Leaf Area Index,LAI,m2/m2,F,croplai,1.0,,,45,112,2016-06-21 06:00:00,0.2897277,m2/m2
MZ0003,0.218951515,lai,avg,m2/m2,06/27/2016,2016,179,51,1.0,1,plan,morphology,real,Leaf Area Index,LAI,m2/m2,F,croplai,1.0,,,51,118,2016-06-27 06:00:00,0.41369224,m2/m2
MZ0003,0.21164141399999997,lai,avg,m2/m2,06/27/2016,2016,179,51,2.0,1,plan,morphology,real,Leaf Area Index,LAI,m2/m2,F,croplai,1.0,,,51,118,2016-06-27 06:00:00,0.41369224,m2/m2
MZ0003,0.204050505,lai,avg,m2/m2,06/27/2016,2016,179,51,3.0,1,plan,morphology,real,Leaf Area Index,LAI,m2/m2,F,croplai,1.0,,,51,118,2016-06-27 06:00:00,0.41369224,m2/m2
MZ0003,0.205146465,lai,avg,m2/m2,06/27/2016,2016,179,51,4.0,1,plan,morphology,real,Leaf Area Index,LAI,m2/m2,F,croplai,1.0,,,51,118,2016-06-27 06:00:00,0.41369224,m2/m2
MZ0003,0.380050505,lai,avg,m2/m2,07/04/2016,2016,186,58,1.0,1,plan,morphology,real,Leaf Area Index,LAI,m2/m2,F,croplai,1.0,,,58,125,2016-07-04 06:00:00,0.6179281,m2/m2
MZ0003,0.478848485,lai,avg,m2/m2,07/04/2016,2016,186,58,2.0,1,plan,morphology,real,Leaf Area Index,LAI,m2/m2,F,croplai,1.0,,,58,125,2016-07-04 06:00:00,0.6179281,m2/m2
MZ0003,0.34632828299999996,lai,avg,m2/m2,07/04/2016,2016,186,58,3.0,1,plan,morphology,real,Leaf Area Index,LAI,m2/m2,F,croplai,1.0,,,58,125,2016-07-04 06:00:00,0.6179281,m2/m2
MZ0003,0.41164040399999996,lai,avg,m2/m2,07/04/2016,2016,186,58,4.0,1,plan,morphology,real,Leaf Area Index,LAI,m2/m2,F,croplai,1.0,,,58,125,2016-07-04 06:00:00,0.6179281,m2/m2
MZ0003,0.6631565660000001,lai,avg,m2/m2,07/11/2016,2016,193,65,1.0,1,plan,morphology,real,Leaf Area Index,LAI,m2/m2,F,croplai,1.0,,,65,132,2016-07-11 06:00:00,0.86377484,m2/m2
MZ0003,0.7351868690000001,lai,avg,m2/m2,07/11/2016,2016,193,65,2.0,1,plan,morphology,real,Leaf Area Index,LAI,m2/m2,F,croplai,1.0,,,65,132,2016-07-11 06:00:00,0.86377484,m2/m2
