model,bias,mse,rmse,mae,rrmse,rmae,ef,r,r2,d,cc,a,b,aic,bic,pval,fval,mi_sim,sd_sim,cv_sim,mi_obs,sd_obs,cv_obs,n,run_id
grain_dw,-5.544692307999999,30.74361279039436,5.544692307999999,5.544692307999999,1.0,1.0,-inf,,,0.0,0.0,,0.0,-inf,-inf,,,0.0,0.0,,5.544692307999999,0.0,0.0,1,MZ0003
lai,3.529357112176217,17.07322622038149,4.131976067256621,3.529357112176217,2.7725723247109477,3.431979100586924,-9.346755161689304,0.933237648545588,0.8709325086628984,0.5127332373386558,0.31649599553237984,1.4495952603062168,2.3955284490098268,220.01521248902816,224.45422789938038,4.748385616281459e-31,445.36036903064587,5.019661271396806,3.2973480653470895,0.656886568051144,1.4903041592205881,1.2845638949572078,0.8619474669043532,68,MZ0003
leaf_dw,0.09839749896953501,0.07642692152648128,0.2764541942645857,0.19992838856473566,0.2012705766935817,0.27881363341849447,0.9571340056501229,0.9820991196646237,0.9645186808460289,0.9885209381789126,0.9772602936707667,0.20676575299397099,0.921103237225984,2.779457460222254,5.135565120918145,1.9185534108025428e-17,598.0445903527678,1.471942498969535,1.2523326950219078,0.8508027289779527,1.373545,1.335262745370738,0.9721288675440105,24,MZ0003
plant_h,0.30335325183237305,0.12934003285257778,0.3596387532685789,0.30448102528558063,0.4661285661348207,1.0473826084879259,0.6610984209959211,0.9509488037156536,0.9043036272882327,0.9202279749561095,0.8483188702516914,0.34370452264433005,0.9477006306068225,-28.558796808926687,-24.119781398574474,2.4057104369016983e-35,623.6813131965707,1.074897369479432,0.6156639445047307,0.5727653281009462,0.7715441176470588,0.6177740866783588,0.8006983302035338,68,MZ0003
root_dw,-0.6122590709878504,0.6919418986717734,0.8318304506759616,0.6122590709878504,1.054755706035918,0.7477243673726421,-0.31682998323316447,0.9056913908753594,0.8202768955057431,0.611002999115105,0.25950009760565224,-0.005579629625602704,0.23073433775895102,-5.027218846077666,-6.2546301238378845,0.09430860912464072,9.128229760041275,0.17638842901214957,0.18467238262662475,1.0469642689198426,0.7886475,0.7248864157016256,0.9191513517783618,4,MZ0003
stalk_dw,-0.6250086180629582,1.4749754421471295,1.2144856697990016,0.722401860948801,0.6244591743359428,0.5831597092379638,0.722952717361698,0.9605282433296872,0.9226145062340149,0.8935306943040713,0.807551271150783,0.18935988101797446,0.5812714030413848,26.718360345270575,29.074468005966466,1.0400023570834653e-13,262.29100764709534,1.3198513819370419,1.3963177710842634,1.057935605624777,1.94486,2.307360466680488,1.1863889774484992,24,MZ0003
