run_id,obs_value,variable,agg_type,sub_agg_type,units,date,year,doy,dap,valid
SB0002,1.88667,stem_dw,avg,NA,ton/ha,5/3/2016,2016,64,78,1
SB0002,1.68473,stem_dw,avg,NA,ton/ha,21/03/2016,2016,80,94,1
SB0002,0.08755,root_dw,avg,NA,ton/ha,16/01/2016,2016,16,29,1
SB0002,0.15458,root_dw,avg,NA,ton/ha,26/01/2016,2016,26,39,1
SB0002,0.27964,root_dw,avg,NA,ton/ha,2/2/2016,2016,33,46,1
SB0002,0.43129,root_dw,avg,NA,ton/ha,9/2/2016,2016,40,53,1
SB0002,0.58515,root_dw,avg,NA,ton/ha,16/02/2016,2016,47,60,1
SB0002,0.46241,root_dw,avg,NA,ton/ha,5/3/2016,2016,64,78,1
SB0002,0.75249,root_dw,avg,NA,ton/ha,21/03/2016,2016,80,94,1
SB0002,0.61181,lf_st_dw,avg,NA,ton/ha,16/01/2016,2016,16,29,1
SB0002,1.14364,lf_st_dw,avg,NA,ton/ha,26/01/2016,2016,26,39,1
SB0002,1.44611,lf_st_dw,avg,NA,ton/ha,2/2/2016,2016,33,46,1
SB0002,1.43724,lf_st_dw,avg,NA,ton/ha,9/2/2016,2016,40,53,1
SB0002,1.65851,lf_st_dw,avg,NA,ton/ha,16/02/2016,2016,47,60,1
SB0002,3.01819,lf_st_dw,avg,NA,ton/ha,5/3/2016,2016,64,78,1
SB0002,2.35091,lf_st_dw,avg,NA,ton/ha,21/03/2016,2016,80,94,1
SB0002,295.35,sla,avg,NA,cm2/g,16/01/2016,2016,16,29,1
SB0002,342.25,sla,avg,NA,cm2/g,26/01/2016,2016,26,39,1
SB0002,299.38,sla,avg,NA,cm2/g,2/2/2016,2016,33,46,1
SB0002,311.78,sla,avg,NA,cm2/g,9/2/2016,2016,40,53,1
SB0002,216.37,sla,avg,NA,cm2/g,16/02/2016,2016,47,60,1
SB0002,166.17,sla,avg,NA,cm2/g,5/3/2016,2016,64,78,1
SB0002,272.25,sla,avg,NA,cm2/g,21/03/2016,2016,80,94,1
SB0002,1213.54,n_pod,avg,NA,#/m2,4/4/2016,2016,94,108,1
SB0002,3276.55,n_grain,avg,NA,#/m2,4/4/2016,2016,94,108,1
SB0002,4.21173,grain_dw,avg,NA,ton/ha,4/4/2016,2016,94,108,1
SB0003,0.124282667,lai,avg,NA,m2/m2,14/11/2016,2016,318,14,1
SB0003,0.315541333,lai,avg,NA,m2/m2,21/11/2016,2016,325,21,1
SB0003,1.060992,lai,avg,NA,m2/m2,28/11/2016,2016,332,28,1
SB0003,1.756608889,lai,avg,NA,m2/m2,5/12/2016,2016,339,35,1
SB0003,2.999018889,lai,avg,NA,m2/m2,15/12/2016,2016,349,45,1
SB0003,3.884588758,lai,avg,NA,m2/m2,26/12/2016,2016,360,56,1
SB0003,4.195610222,lai,avg,NA,m2/m2,4/1/2017,2017,4,65,1
SB0003,3.348484183,lai,avg,NA,m2/m2,16/01/2017,2017,16,77,1
SB0003,2.702346667,lai,avg,NA,m2/m2,30/01/2017,2017,30,91,1
SB0003,0.427210667,lai,avg,NA,m2/m2,13/02/2017,2017,44,105,1
SB0003,0.167224711,lai,avg,NA,m2/m2,19/02/2017,2017,50,111,1
SB0003,0.047333333,leaf_dw,avg,NA,ton/ha,14/11/2016,2016,318,14,1
SB0003,0.123999999,leaf_dw,avg,NA,ton/ha,21/11/2016,2016,325,21,1
SB0003,0.29511065,leaf_dw,avg,NA,ton/ha,28/11/2016,2016,332,28,1
SB0003,0.477777773,leaf_dw,avg,NA,ton/ha,5/12/2016,2016,339,35,1
SB0003,1.076888878,leaf_dw,avg,NA,ton/ha,15/12/2016,2016,349,45,1
SB0003,1.616666651,leaf_dw,avg,NA,ton/ha,26/12/2016,2016,360,56,1
SB0003,1.700888872,leaf_dw,avg,NA,ton/ha,4/1/2017,2017,4,65,1
SB0003,1.475111096,leaf_dw,avg,NA,ton/ha,16/01/2017,2017,16,77,1
SB0003,1.366666653,leaf_dw,avg,NA,ton/ha,30/01/2017,2017,30,91,1
SB0003,0.308222219,leaf_dw,avg,NA,ton/ha,13/02/2017,2017,44,105,1
SB0003,0.096222221,leaf_dw,avg,NA,ton/ha,19/02/2017,2017,50,111,1
SB0003,0.013333333,stem_dw,avg,NA,ton/ha,14/11/2016,2016,318,14,1
SB0003,0.051333333,stem_dw,avg,NA,ton/ha,21/11/2016,2016,325,21,1
SB0003,0.120444443,stem_dw,avg,NA,ton/ha,28/11/2016,2016,332,28,1
SB0003,0.338488884,stem_dw,avg,NA,ton/ha,5/12/2016,2016,339,35,1
SB0003,1.09226668,stem_dw,avg,NA,ton/ha,15/12/2016,2016,349,45,1
SB0003,2.25876546,stem_dw,avg,NA,ton/ha,26/12/2016,2016,360,56,1
SB0003,2.477037068,stem_dw,avg,NA,ton/ha,4/1/2017,2017,4,65,1
SB0003,3.658562055,stem_dw,avg,NA,ton/ha,16/01/2017,2017,16,77,1
SB0003,3.043022294,stem_dw,avg,NA,ton/ha,30/01/2017,2017,30,91,1
SB0003,2.051555581,stem_dw,avg,NA,ton/ha,13/02/2017,2017,44,105,1
SB0003,1.940771954,stem_dw,avg,NA,ton/ha,19/02/2017,2017,50,111,1
SB0003,0.004888889,root_dw,avg,NA,ton/ha,14/11/2016,2016,318,14,1
SB0003,0.152888887,root_dw,avg,NA,ton/ha,21/11/2016,2016,325,21,1
SB0003,0.163999998,root_dw,avg,NA,ton/ha,28/11/2016,2016,332,28,1
SB0003,0.292222219,root_dw,avg,NA,ton/ha,5/12/2016,2016,339,35,1
SB0003,0.831777769,root_dw,avg,NA,ton/ha,15/12/2016,2016,349,45,1
SB0003,1.022888879,root_dw,avg,NA,ton/ha,26/12/2016,2016,360,56,1
SB0003,1.173555544,root_dw,avg,NA,ton/ha,4/1/2017,2017,4,65,1
SB0003,1.959111092,root_dw,avg,NA,ton/ha,16/01/2017,2017,16,77,1
SB0003,1.064222212,root_dw,avg,NA,ton/ha,30/01/2017,2017,30,91,1
SB0003,0.727777771,root_dw,avg,NA,ton/ha,13/02/2017,2017,44,105,1
SB0003,491.1111062,n_pod,avg,NA,#/m2,26/12/2016,2016,360,56,1
SB0003,1133.333322,n_pod,avg,NA,#/m2,4/1/2017,2017,4,65,1
SB0003,1597.777762,n_pod,avg,NA,#/m2,16/01/2017,2017,16,77,1
SB0003,1031.111101,n_pod,avg,NA,#/m2,30/01/2017,2017,30,91,1
