run_id,driv_id,soil_id,crop_id,description,site,country,lat,lon,crop_nm,variety,treatment,irrigaTrueion,plan_year,plan_doy,harv_year,harv_doy,spinup_days,label,source,planting_type,plan_depth,rowspacing,plants_m,plants_ha,area_ha,residue,residue_type,residue_amount_ton_ha,soil,observation,run_jules,sim_base
SC0005,DRPI0001,PI0002,CRSC0001,Sugarcane Rainfed,Piracicaba - CTC,Brazil,-22.6931,-47.560563,Sugarcane,SP83-2847,Rainfed,FALSE,2004,301,2005,267,60,Sugarcane Rainfed,https://www.teses.usp.br/teses/disponiveis/11/11136/tde-19092006-170424/pt-br.php,Plant-Cane,20,140,13,NA,NA,NA,NA,NA,"Latossolo Vermelho Amarelo, distrofico (Typic Hapludox)","Data from Suguitani's thesis on CTC for assessing the Mosicas model. Crop havent shown significant difference between Rainfed/Irrigated trials; hypothesis are: deeper roots, wet year, high TAV. This data was used to parameterize CANEGRO by Marin (2012)",FALSE,base_setup_01.csv
SC0006,DRPI0001,PI0002,CRSC0001,Sugarcane Irrigated,Piracicaba - CTC,Brazil,-22.6931,-47.560563,Sugarcane,SP83-2847,Irrigated,TRUE,2004,301,2005,267,60,Sugarcane Irrigated,https://www.teses.usp.br/teses/disponiveis/11/11136/tde-19092006-170424/pt-br.php,Plant-Cane,20,140,13,NA,NA,NA,NA,NA,"Latossolo Vermelho Amarelo, distrofico (Typic Hapludox)","Data from Suguitani's thesis on CTC for assessing the Mosicas model. Crop havent shown significant difference between Rainfed/Irrigated trials; hypothesis are: deeper roots, wet year, high TAV. This data was used to parameterize CANEGRO by Marin (2012)",FALSE,base_setup_01.csv
SC0007,DRPI0001,PI0002,CRSC0001,Sugarcane Rainfed,Piracicaba - CTC,Brazil,-22.6931,-47.560563,Sugarcane,NCo376,Rainfed,FALSE,2004,301,2005,267,60,Sugarcane Rainfed,https://www.teses.usp.br/teses/disponiveis/11/11136/tde-19092006-170424/pt-br.php,Plant-Cane,20,140,13,NA,NA,NA,NA,NA,"Latossolo Vermelho Amarelo, distrofico (Typic Hapludox)","Data from Suguitani's thesis on CTC for assessing the Mosicas model. Crop havent shown significant difference between Rainfed/Irrigated trials; hypothesis are: deeper roots, wet year, high TAV. This data was used to parameterize CANEGRO by Marin (2012)",FALSE,base_setup_01.csv
SC0008,DRPI0001,PI0002,CRSC0001,Sugarcane Irrigated,Piracicaba - CTC,Brazil,-22.6931,-47.560563,Sugarcane,NCo376,Irrigated,TRUE,2004,301,2005,267,60,Sugarcane Irrigated,https://www.teses.usp.br/teses/disponiveis/11/11136/tde-19092006-170424/pt-br.php,Plant-Cane,20,140,13,NA,NA,NA,NA,NA,"Latossolo Vermelho Amarelo, distrofico (Typic Hapludox)","Data from Suguitani's thesis on CTC for assessing the Mosicas model. Crop havent shown significant difference between Rainfed/Irrigated trials; hypothesis are: deeper roots, wet year, high TAV. This data was used to parameterize CANEGRO by Marin (2012)",FALSE,base_setup_01.csv
SC0009,AT0001,AT0001,CRSC0001,Sugarcane Rainfed,Aparecida do Taboado,Brazil,-20.08333333,-51.3,Sugarcane,NA,Rainfed,FALSE,2006,182,2007,251,60,Sugarcane Rainfed,doi:10.2134/agronj2010.0302,Ratoon1,20,140,13,NA,NA,NA,NA,NA,Typic Hapludox,This data was used to parameterize CANEGRO by Marin (2012),FALSE,base_setup_01.csv
SC0010,AT0001,AT0001,CRSC0001,Sugarcane Rainfed,Aparecida do Taboado,Brazil,-20.08333333,-51.3,Sugarcane,NA,Rainfed,FALSE,2006,182,2007,251,60,Sugarcane Rainfed,doi:10.2134/agronj2010.0302,Ratoon1,20,140,13,NA,NA,NA,NA,NA,Typic Hapludox,This data was used to parameterize CANEGRO by Marin (2012),FALSE,base_setup_01.csv
SC0011,CO0001,CO0001,CRSC0001,Sugarcane Rainfed,Colina,Brazil,-20.41666667,-48.31666667,Sugarcane,NA,Rainfed,FALSE,2004,41,2005,167,60,Sugarcane Rainfed,doi:10.2134/agronj2010.0302,Plant-Cane,20,140,13,NA,NA,NA,NA,NA,Typic Hapludox,This data was used to parameterize CANEGRO by Marin (2012),FALSE,base_setup_01.csv
SC0012,CO0001,CO0001,CRSC0001,Sugarcane Rainfed,Colina,Brazil,-20.41666667,-48.31666667,Sugarcane,NA,Rainfed,FALSE,2004,41,2005,167,60,Sugarcane Rainfed,doi:10.2134/agronj2010.0302,Plant-Cane,20,140,13,NA,NA,NA,NA,NA,Typic Hapludox,This data was used to parameterize CANEGRO by Marin (2012),FALSE,base_setup_01.csv
SC0013,CO0001,CO0001,CRSC0001,Sugarcane Rainfed,Colina,Brazil,-20.41666667,-48.31666667,Sugarcane,NA,Rainfed,FALSE,2004,41,2005,167,60,Sugarcane Rainfed,doi:10.2134/agronj2010.0302,Plant-Cane,20,140,13,NA,NA,NA,NA,NA,Typic Hapludox,This data was used to parameterize CANEGRO by Marin (2012),FALSE,base_setup_01.csv
SC0014,CO0001,CO0001,CRSC0001,Sugarcane Rainfed,Colina,Brazil,-20.41666667,-48.31666667,Sugarcane,NA,Rainfed,FALSE,2004,41,2005,167,60,Sugarcane Rainfed,doi:10.2134/agronj2010.0302,Plant-Cane,20,140,13,NA,NA,NA,NA,NA,Typic Hapludox,This data was used to parameterize CANEGRO by Marin (2012),FALSE,base_setup_01.csv
