model,bias,mse,rmse,mae,rrmse,rmae,ef,r,r2,d,cc,a,b,aic,bic,pval,fval,mi_sim,sd_sim,cv_sim,mi_obs,sd_obs,cv_obs,n,key
leaf_dw,-2.6740687290824936,9.759078457260351,3.1239523775596116,2.6740687290824936,1.0466229819789798,0.8861023181540991,-2.4263870683978923,0.442960822856955,0.19621429058611065,0.420462346080127,0.02722776371780294,0.16759678888428337,0.04795205600265993,-78.72380030909048,-73.39692212086635,1.9855364764347096e-06,25.38771961476589,0.310723723738261,0.1826956088794988,0.5879680079831721,2.984792452820755,1.6876648049694913,0.5654211579684801,106,plan
stalk_dw,-3.785489155129671,18.23143362864219,4.269828290299528,3.785489155129671,0.9591383783781617,0.8553546246537618,-2.607227724186957,0.7485582430707874,0.5603394432692241,0.46865569731416645,0.06667231333972598,0.0926772777556395,0.12884125294478754,16.891617002577476,22.292577734162307,5.436220543100384e-21,137.6440504990158,0.6662441781976006,0.3869483264647016,0.5807905556661195,4.4517333333272715,2.2481414360486256,0.5050036171794552,110,plan
grain_dw,-0.6189864566343368,4.978040816288766,2.2311523516534604,1.1839854943166357,1.0715293297651864,0.682324065244226,0.5542183150522426,0.8508207185617727,0.7238958951339711,0.7879247096700733,0.6482987119838182,0.6077293974933886,0.4108595874182731,277.3678894815829,282.75058524604117,1.1279418805925735e-31,280.53498450129354,1.46322659127392,1.6137025474876125,1.1028384510718088,2.082213047908257,3.3417050570141087,1.604881431499581,109,plan
lai,-2.9519511496528743,9.503544864764452,3.082782000849955,2.9519511496528743,0.7140057132641214,0.6851211637091998,-7.307319443429099,0.5579092863553662,0.311262771801554,0.36483172531600205,0.07406176568096108,-0.06880946244659358,0.33223314647364904,102.45581233671435,106.7420817894974,2.0296923948557963e-06,27.567885548396823,1.365636151934427,0.6369300340298714,0.4663980468938659,4.317587301587302,1.0695777483842632,0.24772579537443226,63,plan
