model,bias,mse,rmse,mae,rrmse,rmae,ef,r,r2,d,cc,a,b,aic,bic,pval,fval,mi_sim,sd_sim,cv_sim,mi_obs,sd_obs,cv_obs,n,run_id
leaf_dw,-2.796263458787798,10.519613353479324,3.2433953433831224,2.796263458787798,1.0450409875604219,0.8946476357781656,-2.572018999931133,0.44148506997677095,0.19490906701239435,0.42335550089063534,0.02576317746918835,0.16075886838052678,0.047230076553397726,-36.75907264433904,-32.8184888172348,0.0009355837442978645,12.346881588573497,0.3073424112122014,0.18358856908894092,0.5973421252369367,3.10360587,1.716101649327846,0.5529380086292485,53,MZ0001
stalk_dw,-4.021922369251609,20.197237762550937,4.494133705459923,4.021922369251609,0.9598203627403464,0.8691090267613251,-2.8839274842737206,0.7511525587717515,0.5642301665493495,0.4600766595321233,0.06175683187567479,0.061839493736485104,0.12782350291082603,10.156986634180583,14.134954727309132,6.036664920966326e-11,67.32904943932702,0.6603430628224656,0.38805474353504954,0.5876562735079096,4.682265432074074,2.28039685122086,0.48702853016402503,54,MZ0001
grain_dw,-1.3785452394224267,9.06930443440595,3.011528587678681,1.7134083394994482,1.0837176224301677,0.5207206174588345,0.46644155085236205,0.9441186315627652,0.8913599904639484,0.7317440301125829,0.5764337911290519,0.39143489884583815,0.3630614449284569,85.61386751855248,89.55445134565673,3.0742992028150096e-26,418.44031225508814,1.4003415529926675,1.585439057560651,1.1321802557186222,2.7788867924150944,4.12283533368651,1.4836283885114323,53,MZ0001
lai,-2.9594176322875483,9.376098862734368,3.0620416167541498,2.9594176322875483,0.7098448305418521,0.689559216446874,-10.262400208923813,0.5333128778526939,0.2844226256835224,0.3373178309543059,0.061896261053726656,-0.24847688439491278,0.37154764152529307,53.508339188031044,56.376313597001335,0.002005940823597125,11.526714567660735,1.3542597870672903,0.6356646334684267,0.4693816057589561,4.313677419354839,0.9124217116074645,0.21151829933169364,31,MZ0001
